z.average.synthesized,z.average.serum,volume.mean.synthesized,volume.mean.serum,number.mean.synthesized,number.mean.serum,intensity.mean.synthesized,intensity.mean.serum,polydispersity.index.synthesized,polydispersity.index.serum,zeta.potential.synthesized,zeta.potential.serum,lspr.index.synthesized,lspr.index.serum,lspr.peak.position.synthesized,serum.density.protot,serum.density.autot,total.spc,num.protein.id,cell.association
44.18,64.29,42.92,33.88,46.12,24.6,46.12,81.11,0.047,0.248,-33.12,-11.36,0.194353214,0.353491169,523.03,1.486,442.5840677,2282,93,Medium
49.97,77.26,28.82,53.22,57.17,45.48,57.17,84.26,0.233,0.167,19.23,-10.03,0.278635821,0.309800527,526.1,3.615,438.8008628,1979,77,High
42.32,65.4,39.46,65.28,41.57,62.14,41.57,69.93,0.133,0.086,-29.75,-11.41,0.218381264,0.22913763,523.8,2.4,480.861601,2148,75,Low
41.82,68.38,42.09,66.65,44.6,63.33,44.6,73.43,0.094,0.098,-28.75,-9.72,0.210896027,0.225400645,523.87,2.878,471.0300903,2481,97,Medium
68.23,65.58,66.79,58.48,70.28,52.34,70.28,67.16,0.043,0.046,-20.96,-8.71,0.217549571,0.21975155,525.33,0.236,468.2906143,452,58,Low
40.4,53.24,35.08,20.8,45.15,15.37,45.15,69.68,0.164,0.261,19.93,-9.61,0.239468642,0.380651375,524.5,0.622,440.6533869,1096,78,Medium
39.44,55.07,35.03,19.34,44.08,16.36,44.08,68,0.162,0.252,7.35,-5.14,0.245009534,0.377310752,524.7,0.286,462.1378645,1544,67,Low
48.82,71.85,48.64,51.38,54.06,41.89,54.06,83.1,0.136,0.156,20.08,-7.2,0.24399473,0.36658885,526.2,0.851,444.3579795,1459,77,High
43.58,61.43,40.07,23.48,49.23,18.1,49.23,73.47,0.161,0.226,18.93,-5.52,0.24930105,0.342722713,525.63,0.735,432.3149258,1313,84,Medium
40,62.97,39.59,44.04,43.07,37.94,43.07,69.55,0.111,0.158,-32.37,-10.9,0.208557768,0.288393063,523.33,3.232,467.794951,1938,75,Medium
38.77,61.91,36.59,24.51,45.01,19.74,45.01,72.2,0.189,0.214,-28.55,-11.14,0.244654031,0.375908857,522.33,2.967,508.5214894,2381,89,Medium
43.5,61.31,43.38,26.43,45.82,21.39,45.82,73.4,0.091,0.201,-30.57,-10.6,0.222195394,0.290942811,522.47,3.557,488.2930191,1934,69,Medium
43.68,67.37,43.28,51.96,45.11,41.65,45.11,76.17,0.058,0.121,-33.48,-8.81,0.209165937,0.272366315,525.8,2.069,460.8509444,2261,99,Medium
81.94,84.87,82.49,82.2,87.02,78.57,87.02,87.48,0.061,0.038,-6.89,-4.41,0.213396062,0.216183247,523.6,1.361,419.9765205,871,53,Low
42.22,66.32,40.83,44.32,45.54,38.06,45.54,75.3,0.061,0.161,-32.67,-9.41,0.207309655,0.302032034,524.9,1.91,456.870247,2364,95,Medium
91.86,122.28,64.67,495.82,136.68,66.11,136.68,163.85,0.387,0.203,24.34,-7.94,0.497955977,0.651065624,528.02,1.332,426.7513519,2091,85,High
50.24,47,42.83,44.17,55.3,40.75,55.3,53.84,0.116,0.178,-4.96,-3.92,0.327600272,0.324824669,526.93,0.476,443.8410282,744,49,Low
40.47,68.42,29.57,46.03,55.68,25.45,55.68,104.54,0.23,0.278,16.08,-9.82,0.255484287,0.374145386,521.53,1.909,447.1348332,1777,92,High
43.59,60.9,43.89,93.1,45.87,46.89,45.87,77.13,0.081,0.144,-27.78,-11.65,0.217630376,0.280269179,522.6,2.723,484.1331391,1992,47,Medium
42.9,50.05,41.71,15.44,44.73,13.15,44.73,65.41,0.058,0.282,-33.97,-8.14,0.212008092,0.382057493,523.27,1.834,474.8147052,2290,105,Medium
81.01,108.27,68.59,244.57,87.28,88.72,87.28,121.04,0.099,0.086,19.11,-11.47,0.281660843,0.377517145,542.67,2.274,774.6596575,2052,73,High
71.03,109.94,67.66,366.09,76.52,104.45,76.52,132.43,0.1,0.081,-34.58,-8.97,0.209150851,0.314877223,539.08,2.835,959.6681288,2534,120,Medium
90.22,88.32,88.48,85.31,94.52,79.33,94.52,92.46,0.05,0.05,-19.12,-9.62,0.223723089,0.275675914,540.13,1.247,962.673049,894,63,Medium
67.59,107.61,66.21,435.13,71.74,99.19,71.74,132.73,0.092,0.095,-21.45,-9.77,0.36210135,0.32615784,537.23,1.895,740.0190009,1926,100,Medium
75.8,103.94,75.66,106.11,79.83,101.54,79.83,108.14,0.068,0.058,-36.08,-11.58,0.239247752,0.256658487,539.73,2.126,888.197736,2066,83,Medium
75.6,53.41,68.01,40.19,80.93,33.97,80.93,57.9,0.092,0.086,22.78,-5.43,0.272835088,0.434583054,542,0.148,739.0651998,1042,74,Medium
86.9,114.53,87.22,114.42,96.47,92.27,96.47,124.7,0.107,0.138,25.73,-9.7,0.275534574,0.53365698,543.47,0.769,844.3644811,1078,62,High
73.95,105.18,73.09,102.81,78.94,97.46,78.94,106.02,0.091,0.057,-37.05,-10.66,0.229888129,0.321436476,541.17,2.652,920.3405364,1655,77,Medium
78.47,94.45,63.26,89.7,85.49,79.84,85.49,100.92,0.088,0.106,21.63,-10.8,0.281203609,0.391381733,542.87,0.372,713.4084392,1279,87,High
71.33,102.9,70.96,107.21,75.66,94.83,75.66,107.21,0.084,0.083,-34.72,-8.66,0.27376842,0.379106402,540.77,1.808,788.0374929,1958,86,High
72.45,100.75,131.05,94.79,81.11,82.21,81.11,107.09,0.086,0.087,-38.62,-9.6,0.229814776,0.363171161,538.97,2.28,710.3340037,2150,81,Medium
129.48,127.22,131.38,128.76,130.3,125.33,130.3,127.87,0.022,0.028,-0.6,-0.61,0.242878304,0.292163348,541.4,0.587,926.9012242,317,43,Low
101.32,98.21,100.49,392.16,103.75,91.72,103.75,109.48,0.04,0.044,-3.1,-2.02,0.244600757,0.287944778,542.1,0.144,889.216281,520,53,Low
83.89,106.63,261.41,265.6,124.01,64.4,124.01,138.23,0.202,0.197,24.14,-8.35,0.385138036,0.637614686,541.18,1.224,743.3688891,1867,82,High
114.39,110.75,176.86,372.23,130.74,97.67,130.74,125.71,0.135,0.078,9.82,-2.23,0.280373779,0.30665529,544.1,0.355,838.4394352,643,55,Low
75.37,93.52,75.26,89.71,79.04,84.48,79.04,95.2,0.055,0.055,-41.68,-6.52,0.256419575,0.277680409,543.83,2.35,976.1478081,1680,61,Medium
104.26,100.88,103.77,339.47,106.24,82.67,106.24,124.24,0.045,0.084,-2.31,-3.58,0.270949236,0.348957498,543.07,0.288,753.0378763,331,41,Medium
75.37,95.18,64.12,93.72,80.33,86.87,80.33,102.41,0.106,0.1,22.63,-9.31,0.267234304,0.310753081,541.97,1.085,892.4016668,1837,78,Medium
77.3,97.68,77.99,129.06,85.01,81.35,85.01,110.59,0.1,0.096,-28.83,-12.15,0.258188077,0.343062339,539.93,2.886,960.6821384,2506,55,Medium
95.37,106.12,94.5,102.13,98.7,91.66,98.7,108.76,0.057,0.07,-7.62,-8.07,0.238381388,0.273281067,541.2,1.387,830.1768602,2009,62,Medium
76.5,94.89,76.66,82.61,81.49,67.98,81.49,105.55,0.095,0.104,-34.23,-10.26,0.251536709,0.394979458,539.3,2.389,912.1187005,1814,88,Medium
73.06,105.01,72.23,105.73,77.85,98.17,77.85,109.21,0.104,0.073,-30.7,-9.68,0.24194107,0.290461789,539.7,1.421,837.3370002,1247,66,Medium
76.53,100.73,69.74,87.48,82.81,68.98,82.81,110.74,0.108,0.1,-33.47,-9.63,0.26103318,0.363008062,540.1,3.02,948.9179405,1734,72,Medium
